,max_samples,n_estimators,max_depth,criterion,verbose,LL_RF_up
0,6205483,1,12.0,gini,9,0.0966232537658292
1,6205483,1,12.0,entropy,9,0.096644183081954
2,6205483,1,12.0,log_loss,9,0.0951801798540127
3,6205483,1,50.0,gini,9,0.9756300843448692
4,6205483,1,50.0,entropy,9,0.948917376232076
5,6205483,1,50.0,log_loss,9,0.9446672231503618
6,6205483,1,,gini,9,0.964632554255005
7,6205483,1,,entropy,9,0.9460614176161708
8,6205483,1,,log_loss,9,0.9541111387165552
9,6205483,30,12.0,gini,9,0.0870020235088102
10,6205483,30,12.0,entropy,9,0.0874395197050248
11,6205483,30,12.0,log_loss,9,0.0877297190589593
12,6205483,30,50.0,gini,9,0.0410038565794492
13,6205483,30,50.0,entropy,9,0.0408987073176879
14,6205483,30,50.0,log_loss,9,0.0409735516541749
15,6205483,30,,gini,9,0.0413002757236582
16,6205483,30,,entropy,9,0.0409412618826004
17,6205483,30,,log_loss,9,0.0410856724362191
18,6205483,60,12.0,gini,9,0.0868535770343997
19,6205483,60,12.0,entropy,9,0.0874482009686301
20,6205483,60,12.0,log_loss,9,0.0876372272795532
21,6205483,60,50.0,gini,9,0.0393330373844212
22,6205483,60,50.0,entropy,9,0.0392360107618047
23,6205483,60,50.0,log_loss,9,0.0392161087784281
24,6205483,60,,gini,9,0.039431386519439
25,6205483,60,,entropy,9,0.039247837037461
26,6205483,60,,log_loss,9,0.0391900652078566
27,6205483,100,12.0,gini,9,0.0869472416175562
28,6205483,100,12.0,entropy,9,0.087420826401903
29,6205483,100,12.0,log_loss,9,0.0874656776185129
30,6205483,100,50.0,gini,9,0.0390430238937702
31,6205483,100,50.0,entropy,9,0.0388495917731346
32,6205483,100,50.0,log_loss,9,0.0388320771457003
33,6205483,100,,gini,9,0.0390148030985454
34,6205483,100,,entropy,9,0.0387998932086043
35,6205483,100,,log_loss,9,0.0388477300145203
36,6205483,200,12.0,gini,9,0.07130656188473103
37,6205483,200,12.0,entropy,9,0.07130656188473103
38,6205483,200,12.0,log_loss,9,0.07130656188473103
39,6205483,200,50.0,gini,9,0.030414894947636727
40,6205483,200,50.0,entropy,9,0.030414894947636727
41,6205483,200,50.0,log_loss,9,0.030414894947636727
42,6205483,200,,gini,9,0.030378934022813515
43,6205483,200,,entropy,9,0.030378934022813515
44,6205483,200,,log_loss,9,0.030378934022813515
